reference_gene,logfoldchanges,pvals_adj,pristina_gene,identity,alignment_length,mismatches,gap_opens,query_start,query_end,target_start,target_end,evalue,bit_score,test_id,reference_species,reference_cell_type,expected_pristina_cell_type
ENSG00000156508,0.88899726,2.7392366147181213e-50,PrileiEVm011152t1,86.551,461,62,0,1,461,74,1456,0.0,793.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000187955,7.1106,5.050716145510857e-47,PrileiEVm000530t1,34.862,218,132,4,145,356,737,1378,1.0300000000000001e-27,124.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000198888,0.74650913,4.993106273867706e-41,PrileiEVm020602t1,44.444,306,153,3,5,300,953,57,5.6499999999999994e-52,176.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000113140,5.7576985,2.996052726057106e-36,PrileiEVm011797t1,36.585,82,46,2,70,150,810,1040,5.57e-08,55.1,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000243678,1.4936348,3.5932771211634833e-37,PrileiEVm021177t1,66.887,151,50,0,2,152,87,539,4.59e-67,206.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000254772,2.007723,2.107582261940541e-36,PrileiEVm011943t1,59.184,441,174,3,1,437,14,1330,0.0,522.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000186468,0.9206057,4.043947396109676e-36,PrileiEVm026221t1,93.636,110,7,0,34,143,2,331,4.94e-69,206.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000134419,0.9152685,6.823837792445184e-36,PrileiEVm023105t1,89.231,130,14,0,1,130,50,439,2.59e-83,242.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000077942,5.0620933,2.980807795095391e-34,PrileiEVm002660t1,37.887,549,283,18,226,720,2152,3786,4.2299999999999997e-94,320.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000114113,7.557184,0.0,PrileiEVm022819t1,33.858,127,82,1,7,133,86,460,2.49e-16,75.1,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000166825,4.9128985,0.0,PrileiEVm003103t1,36.265,921,525,20,68,962,364,3018,0.0,580.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000136872,4.9532332,0.0,PrileiEVm014054t1,63.736,364,131,1,1,364,70,1158,6.17e-155,452.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000145384,3.5539038,2.7785146633540686e-273,PrileiEVm022596t1,32.576,132,82,3,3,131,101,484,2.7e-16,74.7,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000100170,4.182577,4.130022442729365e-253,PrileiEVm006249t1,50.517,677,293,6,27,663,308,2332,0.0,550.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000138823,5.0737443,1.9719080222191454e-226,PrileiEVm003224t1,24.609,894,606,27,53,905,211,2811,1.5599999999999998e-61,227.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000172831,2.9028115,7.697812909741683e-254,PrileiEVm009447t1,36.0,525,308,14,103,611,185,1723,5.59e-101,321.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000185000,3.4657316,1.1409425432278784e-233,PrileiEVm010592t1,51.111,450,186,3,67,483,173,1519,2.12e-139,435.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000106853,3.5666783,5.804899175017738e-218,PrileiEVm014643t1,45.104,337,169,7,2,323,120,1127,2.09e-76,244.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000084674,5.3705516,5.288588449496005e-188,PrileiEVm000002t1,24.302,716,482,23,29,715,336,2390,9.07e-44,179.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000090402,3.6324184,5.311951355043319e-205,PrileiEVm000632t1,43.8,879,444,15,940,1812,2238,4742,0.0,726.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000159228,3.1678889,2.0968172554917125e-201,PrileiEVm016428t1,54.275,269,122,1,7,275,100,903,1.27e-98,295.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000198074,3.363119,1.0144064545843594e-181,PrileiEVm015164t1,51.171,299,141,3,1,297,150,1037,1.0899999999999999e-104,314.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000196549,4.3008733,1.092298604772506e-166,PrileiEVm005252t1,43.528,703,370,10,55,750,377,2425,0.0,566.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000065154,2.710687,1.4532981383275416e-171,PrileiEVm011546t1,72.75,400,107,1,40,439,211,1404,0.0,554.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000071967,4.1039143,3.3035530903943644e-156,PrileiEVm017390t1,40.693,231,131,4,9,236,157,840,2.8899999999999995e-42,155.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000165140,3.146638,5.964752655437747e-160,PrileiEVm014680t1,63.127,339,123,2,1,337,217,1233,8.149999999999999e-141,413.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000154646,6.7768955,1.8245023567321153e-140,PrileiEVm012025t1,37.402,254,148,7,771,1019,846,1589,1.0099999999999999e-46,183.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000174358,4.6516433,1.1785611344045734e-135,PrileiEVm006215t1,35.902,532,256,7,34,539,308,1726,2.15e-95,314.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000089220,2.186212,6.055013166749255e-140,PrileiEVm018842t1,57.047,149,57,4,38,183,203,637,4.59e-49,162.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000007216,4.633672,2.7302283095184185e-123,PrileiEVm006958t1,43.423,631,265,12,38,638,319,2025,2.44e-126,390.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000163586,2.551871,7.92939191166089e-130,PrileiEVm021548t1,33.083,133,80,3,2,126,153,548,2.9e-11,60.1,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000114771,5.2113914,4.974499541299896e-117,PrileiEVm012948t1,34.026,385,234,10,4,376,138,1268,5.81e-55,189.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000115255,4.0228224,1.090315803847316e-117,PrileiEVm019090t1,50.273,183,80,2,1,176,76,612,6.87e-60,197.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000100889,3.0478637,2.295947820528219e-119,PrileiEVm005995t1,60.033,603,231,5,32,624,423,2231,0.0,761.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000060566,5.724238,1.4422732304769532e-110,PrileiEVm009556t1,60.87,138,51,1,211,345,994,1407,1.53e-44,167.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000159640,4.1984715,5.492102774465324e-112,PrileiEVm007439t1,50.086,583,283,4,646,1223,163,1902,0.0,629.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000162482,2.6373603,6.051445132033472e-118,PrileiEVm012995t1,30.726,179,117,3,37,209,787,1320,2.78e-12,68.6,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000166347,2.1050088,5.637367871867219e-118,PrileiEVm022347t1,48.507,134,64,2,1,132,91,483,7.420000000000001e-32,119.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000033867,3.0716143,1.6153974624451424e-110,PrileiEVm001679t1,52.316,885,387,15,366,1238,1370,3955,0.0,828.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000088386,5.1272945,7.218441940811434e-105,PrileiEVm004915t1,37.946,701,391,14,3,675,202,2256,3.6599999999999997e-137,427.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000166866,2.757792,5.176735153903399e-111,PrileiEVm002248t1,50.718,1045,477,7,26,1035,325,3450,0.0,1023.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000124299,2.886602,1.0726216704942208e-105,PrileiEVm010618t1,59.486,506,171,4,7,509,190,1614,0.0,612.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000243955,3.0073118,1.1618435550662362e-107,PrileiEVm018545t1,34.0,200,123,4,7,199,141,734,8.270000000000001e-22,93.2,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000108242,4.470045,1.391525731246784e-97,PrileiEVm010554t1,36.054,441,269,8,26,458,558,1865,3.06e-81,269.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000130234,4.369673,5.217330143134292e-96,PrileiEVm006645t1,42.926,622,332,10,14,627,411,2231,1.99e-172,524.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000141504,2.3784218,9.678432099122471e-99,PrileiEVm019548t1,45.029,171,92,2,1,169,77,589,5.71e-47,155.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSG00000086205,5.0752015,2.3561219090455632e-92,PrileiEVm005187t1,44.684,696,369,10,59,749,254,2308,0.0,585.0,human_enterocyte,hs,Enterocyte,anterior intestine
ENSDARG00000007040,5.59849,0.0,PrileiEVm000202t1,26.866,201,106,9,32,208,4822,5373,2.19e-08,55.5,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000014916,5.515043,0.0,PrileiEVm011291t1,32.0,275,185,2,45,318,366,1187,4.47e-32,127.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000103951,4.866742,0.0,PrileiEVm017999t1,38.667,150,84,5,1,148,130,561,2.13e-15,75.9,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000003902,5.1241374,0.0,PrileiEVm014063t1,64.286,294,102,3,42,334,339,1214,1.44e-127,391.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000056378,4.649182,0.0,PrileiEVm017203t1,39.442,251,145,5,2,246,61,810,2.69e-53,184.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000032010,4.6772647,0.0,PrileiEVm004805t1,40.514,701,367,17,26,696,187,2229,1.11e-150,466.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000031761,5.037143,0.0,PrileiEVm002583t1,58.779,131,51,1,56,186,228,611,1.5700000000000002e-43,172.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000041108,4.3574014,0.0,PrileiEVm014681t1,39.053,338,189,9,4,327,61,1065,3.52e-73,238.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000101051,5.032579,0.0,PrileiEVm014379t1,62.379,311,109,5,23,326,367,1296,1.6999999999999998e-138,400.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000043081,4.297335,0.0,PrileiEVm016032t1,62.585,294,102,3,4,296,80,940,3.94e-119,353.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000007906,4.794681,0.0,PrileiEVm001281t1,44.819,1245,624,29,3226,4439,2,3640,0.0,939.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000116378,4.042461,0.0,PrileiEVm017702t1,25.478,157,105,5,49,205,320,754,3.35e-08,55.5,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000040072,4.2661347,0.0,PrileiEVm011401t1,48.889,450,189,6,28,475,212,1444,4.5e-129,402.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000003697,3.7907054,0.0,PrileiEVm006406t1,39.434,601,334,6,11,583,140,1936,6.96e-142,433.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000090912,3.3771577,0.0,PrileiEVm020804t1,31.579,152,99,4,1,147,87,542,4.45e-17,74.7,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000039150,3.5606074,0.0,PrileiEVm011913t1,51.589,409,191,5,28,434,204,1415,1.0099999999999999e-126,400.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000103878,2.6574128,0.0,PrileiEVm002895t1,36.434,903,536,15,73,960,459,3098,0.0,572.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000057064,3.1368468,0.0,PrileiEVm003103t1,40.112,890,514,9,76,950,373,3030,0.0,697.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000035890,4.2615795,0.0,PrileiEVm011523t1,57.143,455,184,6,7,451,89,1450,0.0,533.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000010794,4.28544,0.0,PrileiEVm009510t1,45.361,97,45,2,242,330,1009,1299,4.15e-17,85.9,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000099313,3.6014779,0.0,PrileiEVm012889t1,52.507,379,176,4,19,395,174,1304,1.3e-127,399.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000004964,3.6058366,0.0,PrileiEVm009955t1,43.287,499,270,5,16,505,191,1675,1e-141,424.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000097683,3.1845775,0.0,PrileiEVm000132t1,33.483,1332,800,13,13,1270,428,4387,0.0,683.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000098114,3.359039,0.0,PrileiEVm010936t1,41.97,467,255,8,15,471,82,1464,1.49e-121,367.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000056719,2.801072,8.532782716645477e-308,PrileiEVm005635t1,33.072,638,320,10,11,609,187,1896,6.83e-106,349.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000097193,4.542362,1.904655567750024e-286,PrileiEVm013074t1,31.755,359,235,4,16,369,161,1222,4.95e-56,198.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000105714,3.4020727,1.5789669994819185e-291,PrileiEVm000048t1,55.2,125,54,1,2,124,7605,7979,7.08e-42,148.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000013050,3.3401854,2.298367890687873e-283,PrileiEVm001004t1,41.089,1341,725,13,68,1353,414,4406,0.0,991.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000096445,3.1230202,5.540928744025154e-283,PrileiEVm011662t1,41.499,347,177,8,663,996,290,1291,1.8e-77,265.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000034368,3.3011043,9.134750879993708e-270,PrileiEVm008813t1,56.897,522,200,6,38,539,199,1749,0.0,576.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000104593,2.926057,5.39585570077523e-249,PrileiEVm010554t1,35.789,380,227,8,71,440,657,1775,1.3800000000000001e-65,226.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000033604,3.7254868,1.1400072082972465e-242,PrileiEVm014439t1,31.832,333,193,9,23,335,72,1028,3.9e-43,157.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000062947,4.5522923,1.0079862296471248e-229,PrileiEVm005481t1,28.857,350,199,9,28,347,209,1198,5.510000000000001e-29,122.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000087013,4.9059734,2.503902199456279e-220,PrileiEVm000171t1,37.07,1365,757,37,1692,2972,2167,6207,0.0,833.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000020952,4.0230246,1.730311223373895e-213,PrileiEVm005187t1,39.118,726,402,21,30,739,203,2308,1.75e-151,470.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000102249,2.4844067,1.922148318871433e-217,PrileiEVm010618t1,63.636,484,172,3,2,482,169,1617,0.0,640.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000016867,2.1290662,2.4816189013499097e-206,PrileiEVm012615t1,35.587,281,170,5,35,308,297,1127,3.14e-42,159.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000041083,2.0522175,4.3892821640344505e-202,PrileiEVm003102t1,34.735,904,540,18,63,942,325,2958,8.920000000000001e-163,510.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
ENSDARG00000077664,3.2522104,8.43392930115912e-193,PrileiEVm009216t1,49.153,531,256,9,20,545,131,1696,1.81e-173,512.0,zebrafish_lre,dr,LRE,anterior/mid-intestine 2
